 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,9781,1,13.684,11.238,0.055,84.534,0.183,0.157,2.587,start_junc
2,1,9781,2,13.660,11.188,0.055,52.500,0.183,0.157,2.200,start_junc
3,1,9789,1,49.273,3.452,0.143,29.582,0.030,0.187,1.952,start_junc
4,1,9789,2,49.262,3.383,0.143,15.692,0.038,0.142,1.830,start_junc
5,1,9789,3,49.253,3.310,0.143,10.069,0.038,0.142,1.720,start_junc
6,1,9794,1,7.931,4.857,2.135,79.002,0.140,0.211,1.979,start_junc
7,1,9794,2,7.932,4.781,2.135,26.697,0.127,0.131,1.697,start_junc
8,1,9794,3,7.942,4.706,2.135,89.673,0.061,0.251,1.522,start_junc
9,1,9794,4,7.949,4.633,2.135,115.268,0.069,0.246,1.507,start_junc
10,1,9794,5,7.944,4.558,2.135,105.908,0.046,0.239,1.672,start_junc
11,1,9794,6,7.938,4.485,2.135,72.768,0.016,0.223,1.584,start_junc
12,1,9794,7,7.939,4.412,2.135,93.652,0.061,0.220,1.675,start_junc
13,1,9794,8,7.925,4.341,2.135,102.076,0.152,0.227,1.775,start_junc
14,1,9794,9,7.909,4.267,2.135,112.513,0.129,0.238,1.659,start_junc
15,1,9794,10,7.898,4.185,2.135,106.939,0.086,0.242,1.759,start_junc
16,1,9794,11,7.877,4.115,2.135,110.752,0.046,0.242,1.886,start_junc
17,1,9794,12,7.854,4.049,2.135,109.930,0.081,0.240,1.904,start_junc
18,1,9794,13,7.829,3.982,2.135,111.502,0.041,0.242,1.868,start_junc
19,1,9794,14,7.800,3.894,2.135,131.039,0.024,0.250,2.001,start_junc
20,1,9794,15,7.775,3.832,2.135,127.376,0.041,0.248,2.002,start_junc
21,1,9794,16,7.731,3.742,2.135,76.092,0.334,0.200,2.241,start_junc
22,1,9794,17,7.689,3.702,2.135,62.688,0.334,0.199,2.260,start_junc
23,1,9794,18,7.653,3.669,2.135,54.206,0.257,0.198,2.471,start_junc
24,1,9794,19,7.607,3.644,2.135,91.870,0.050,0.244,2.371,start_junc
25,1,9794,20,7.571,3.606,2.135,135.904,0.107,0.259,2.506,start_junc
26,1,9794,21,7.529,3.570,2.135,126.059,0.130,0.252,2.425,start_junc
27,1,9794,22,7.488,3.548,2.135,139.929,0.029,0.255,2.553,start_junc
28,1,9794,23,7.432,3.518,2.135,118.011,0.047,0.251,2.696,start_junc
29,1,9794,24,7.346,3.464,2.135,175.290,0.091,0.267,2.459,start_junc
30,1,9794,25,7.289,3.431,2.135,158.294,0.080,0.271,2.763,start_junc
31,1,9794,26,7.199,3.399,2.135,170.690,0.033,0.269,2.728,start_junc
32,1,9794,27,7.140,3.368,2.135,129.069,0.015,0.258,2.651,start_junc
33,1,9794,28,7.052,3.321,2.135,37.859,0.030,0.196,2.654,start_junc
34,1,9794,29,6.994,3.291,2.135,19.010,0.011,0.154,2.706,start_junc
35,1,9794,30,6.973,3.247,2.135,15.993,0.011,0.154,2.323,start_junc
36,1,9794,31,6.911,3.236,2.135,9.727,0.011,0.154,2.611,start_junc
37,1,9798,1,38.238,22.493,0.070,62.595,0.273,0.171,2.675,start_junc
38,1,9798,2,38.178,22.457,0.070,70.866,0.030,0.212,2.757,start_junc
39,1,9801,1,54.483,7.656,0.073,0.000,0.273,0.000,2.931,start_junc
40,1,9801,2,54.410,7.656,0.073,0.000,0.000,0.000,2.989,start_junc
41,1,9807,1,62.831,14.006,1.041,216.737,0.140,0.265,5.502,start_junc
