 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,5107,1,22.075,8.505,1.235,57.721,0.449,0.232,5.690,start_junc
2,1,5107,2,22.120,8.545,1.235,114.764,0.285,0.264,5.646,start_junc
3,1,5107,3,22.155,8.581,1.235,120.913,0.304,0.266,5.463,start_junc
4,1,5107,4,22.201,8.609,1.235,107.888,0.323,0.268,5.641,start_junc
5,1,5107,5,22.230,8.643,1.235,128.959,0.340,0.269,5.647,start_junc
6,1,5107,6,22.281,8.675,1.235,148.259,0.362,0.271,5.536,start_junc
7,1,5107,7,22.311,8.714,1.235,158.459,0.381,0.273,5.441,start_junc
8,1,5107,8,22.356,8.746,1.235,202.441,0.401,0.275,5.577,start_junc
9,1,5107,9,22.388,8.781,1.235,222.129,0.419,0.277,5.393,start_junc
10,1,5107,10,22.432,8.818,1.235,273.493,0.440,0.278,5.519,start_junc
11,1,5107,11,22.461,8.856,1.235,250.488,0.435,0.273,5.420,start_junc
12,1,5107,12,22.504,8.893,1.235,234.408,0.430,0.267,5.458,start_junc
13,1,5107,13,22.543,8.939,1.235,223.036,0.313,0.279,5.663,start_junc
14,1,5107,14,22.577,8.967,1.235,189.795,0.198,0.278,5.418,start_junc
15,1,5107,15,22.604,9.009,1.235,153.919,0.069,0.276,5.450,start_junc
16,1,5107,16,22.648,9.043,1.235,145.776,0.072,0.274,5.439,start_junc
17,1,5107,17,22.717,9.120,1.235,169.771,0.252,0.276,5.448,start_junc
18,1,5107,18,22.763,9.156,1.235,81.175,0.400,0.241,5.410,start_junc
19,1,5107,19,22.778,9.201,1.235,77.300,0.400,0.235,5.255,start_junc
20,1,5107,20,22.810,9.255,1.235,59.903,0.439,0.222,5.234,start_junc
21,1,5107,21,22.857,9.344,1.235,42.152,0.391,0.207,5.204,start_junc
22,1,5107,22,22.860,9.413,1.235,39.331,0.145,0.235,4.961,start_junc
23,1,5115,1,15.439,20.146,0.072,19.300,0.298,0.124,1.200,start_junc
24,1,5115,2,15.452,20.075,0.072,9.067,0.298,0.124,1.381,start_junc
25,1,5117,1,13.621,8.470,0.069,0.000,0.298,0.000,4.041,start_junc
26,1,5117,2,13.557,8.498,0.069,0.000,0.298,0.000,3.723,start_junc
27,1,103,1,11.861,23.123,2.964,17.799,0.445,0.248,2.603,no_junc
28,1,103,2,11.791,23.070,2.964,58.570,0.445,0.248,2.175,no_junc
29,1,103,3,11.755,23.023,2.964,115.196,0.445,0.246,2.327,no_junc
30,1,103,4,11.727,22.978,2.964,80.420,0.519,0.234,2.366,no_junc
31,1,103,5,11.683,22.952,2.964,64.512,0.391,0.218,2.517,no_junc
32,1,103,6,11.638,22.917,2.964,60.115,0.383,0.214,2.430,no_junc
33,1,103,7,11.598,22.889,2.964,54.523,0.340,0.209,2.410,no_junc
34,1,103,8,11.559,22.850,2.964,49.810,0.340,0.209,2.414,no_junc
35,1,103,9,11.517,22.823,2.964,35.771,0.242,0.192,2.385,no_junc
36,1,103,10,11.478,22.784,2.964,39.225,0.242,0.197,2.504,no_junc
37,1,103,11,11.395,22.723,2.964,43.243,0.219,0.216,2.398,no_junc
38,1,103,12,11.349,22.683,2.964,35.151,0.485,0.201,2.527,no_junc
39,1,103,13,11.314,22.657,2.964,31.319,0.485,0.197,2.412,no_junc
40,1,103,14,11.269,22.617,2.964,26.237,0.485,0.202,2.575,no_junc
41,1,103,15,11.236,22.590,2.964,26.870,0.392,0.211,2.424,no_junc
42,1,103,16,11.189,22.554,2.964,24.801,0.392,0.215,2.563,no_junc
43,1,103,17,11.150,22.533,2.964,23.609,0.257,0.228,2.476,no_junc
44,1,103,18,11.112,22.492,2.964,13.749,0.104,0.201,2.272,no_junc
45,1,103,19,11.071,22.445,2.964,28.253,0.083,0.236,2.094,no_junc
46,1,103,20,11.030,22.421,2.964,89.695,0.330,0.277,2.943,no_junc
47,1,103,21,10.967,22.399,2.964,37.261,0.346,0.233,2.766,no_junc
48,1,103,22,10.881,22.355,2.964,22.853,0.448,0.202,2.692,no_junc
49,1,103,23,10.822,22.326,2.964,25.844,0.416,0.225,2.663,no_junc
50,1,103,24,10.789,22.309,2.964,29.493,0.299,0.232,2.548,no_junc
51,1,103,25,10.743,22.269,2.964,25.763,0.178,0.229,2.435,no_junc
52,1,103,26,10.701,22.248,2.964,38.093,0.046,0.245,2.469,no_junc
53,1,103,27,10.664,22.203,2.964,50.679,0.034,0.245,2.258,no_junc
54,1,103,28,10.624,22.166,2.964,39.259,0.320,0.216,2.308,no_junc
55,1,103,29,10.597,22.128,2.964,43.615,0.558,0.192,2.049,no_junc
56,1,103,30,10.567,22.079,2.964,103.519,0.483,0.239,2.336,no_junc
57,1,103,31,10.537,22.039,2.964,171.395,0.380,0.264,2.292,no_junc
58,1,103,32,10.499,21.998,2.964,152.393,0.362,0.261,2.264,no_junc
59,1,103,33,10.471,21.961,2.964,181.113,0.356,0.268,2.258,no_junc
60,1,103,34,10.432,21.920,2.964,165.934,0.332,0.262,2.342,no_junc
61,1,103,35,10.399,21.883,2.964,149.679,0.357,0.256,2.310,no_junc
62,1,103,36,10.361,21.843,2.964,139.557,0.322,0.253,2.232,no_junc
63,1,103,37,10.300,21.760,2.964,142.194,0.237,0.256,2.192,no_junc
64,1,103,38,10.258,21.711,2.964,171.912,0.342,0.268,2.089,no_junc
65,1,103,39,10.243,21.672,2.964,212.761,0.252,0.279,2.277,no_junc
66,1,103,40,10.216,21.624,2.964,209.211,0.192,0.278,2.576,no_junc
67,1,103,41,10.165,21.602,2.964,242.184,0.131,0.277,2.287,no_junc
68,1,103,42,10.132,21.561,2.964,272.791,0.074,0.276,2.447,no_junc
69,1,103,43,10.091,21.524,2.964,264.848,0.014,0.276,2.411,no_junc
70,1,103,44,10.058,21.496,2.964,258.727,0.033,0.275,2.621,no_junc
71,1,103,45,10.006,21.461,2.964,249.679,0.102,0.274,2.563,no_junc
72,1,103,46,9.921,21.406,2.964,235.197,0.213,0.273,2.602,no_junc
73,1,103,47,9.866,21.374,2.964,226.054,0.105,0.257,2.636,no_junc
74,1,103,48,9.833,21.350,2.964,70.106,0.168,0.192,2.497,no_junc
75,1,103,49,9.783,21.317,2.964,59.727,0.168,0.193,2.545,no_junc
76,1,103,50,9.747,21.278,2.964,104.760,0.311,0.235,2.288,no_junc
77,1,103,51,9.712,21.243,2.964,104.734,0.311,0.232,2.374,no_junc
78,1,103,52,9.670,21.198,2.964,87.721,0.399,0.263,2.122,no_junc
79,1,5122,1,30.960,15.142,0.126,15.405,0.000,0.000,2.381,start_junc
80,1,5122,2,30.930,15.092,0.126,15.405,0.068,0.074,2.216,start_junc
81,1,5122,3,30.863,15.103,0.126,14.521,0.149,0.161,2.561,start_junc
82,1,5124,1,28.306,20.755,3.201,14.531,0.066,0.174,6.160,start_junc
83,1,5124,2,28.385,20.759,3.201,33.547,0.089,0.210,0.137,start_junc
84,1,5124,3,28.460,20.749,3.201,24.787,0.174,0.165,0.331,start_junc
85,1,5124,4,28.526,20.731,3.201,69.971,0.201,0.237,0.596,start_junc
86,1,5124,5,28.563,20.713,3.201,66.273,0.201,0.234,1.057,start_junc
87,1,5124,6,28.604,20.662,3.201,150.258,0.407,0.253,0.923,start_junc
88,1,5124,7,28.659,20.580,3.201,228.094,0.237,0.267,1.141,start_junc
89,1,5124,8,28.686,20.519,3.201,209.198,0.340,0.258,1.122,start_junc
90,1,5124,9,28.718,20.466,3.201,247.793,0.268,0.274,1.025,start_junc
91,1,5124,10,28.734,20.431,3.201,271.844,0.268,0.274,1.021,start_junc
92,1,5124,11,28.769,20.377,3.201,260.889,0.201,0.273,1.125,start_junc
93,1,5124,12,28.779,20.346,3.201,242.788,0.168,0.273,1.124,start_junc
94,1,5124,13,28.812,20.288,3.201,240.289,0.100,0.272,1.109,start_junc
95,1,5124,14,28.843,20.229,3.201,206.278,0.032,0.271,1.143,start_junc
96,1,5124,15,28.858,20.193,3.201,179.642,0.009,0.270,0.947,start_junc
97,1,5124,16,28.894,20.145,3.201,156.391,0.070,0.269,0.973,start_junc
