 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,5935,1,39.926,15.882,0.515,21.200,0.000,0.145,1.571,start_junc
2,1,5935,2,39.926,15.809,0.515,43.139,0.000,0.145,1.571,start_junc
3,1,5935,3,39.926,15.735,0.515,62.552,0.000,0.145,1.571,start_junc
4,1,5935,4,39.926,15.662,0.515,65.928,0.000,0.145,1.571,start_junc
5,1,5935,5,39.926,15.588,0.515,62.448,0.000,0.145,1.571,start_junc
6,1,5935,6,39.926,15.515,0.515,50.339,0.000,0.145,1.571,start_junc
7,1,5935,7,39.926,15.441,0.515,30.004,0.000,0.145,1.571,start_junc
8,1,5935,8,39.926,15.367,0.515,16.390,0.000,0.145,1.571,start_junc
9,1,5941,1,5.441,23.163,0.232,45.395,0.303,0.229,3.390,start_junc
10,1,5941,2,5.385,23.126,0.232,13.327,0.303,0.229,2.685,start_junc
11,1,5941,3,5.298,23.079,0.232,8.599,0.021,0.215,2.685,start_junc
12,1,5941,4,5.233,23.085,0.232,22.643,0.021,0.215,1.838,start_junc
13,1,5945,1,24.709,25.396,0.165,69.573,0.208,0.169,3.255,start_junc
14,1,5945,2,24.632,25.400,0.165,53.709,0.208,0.169,3.139,start_junc
15,1,5945,3,24.564,25.456,0.165,28.228,0.208,0.169,3.490,start_junc
16,1,5950,1,26.055,2.828,2.427,112.738,0.465,0.228,3.790,start_junc
17,1,5950,2,26.035,2.874,2.427,57.840,0.465,0.228,3.831,start_junc
18,1,5950,3,26.000,2.907,2.427,52.614,0.465,0.228,3.845,start_junc
19,1,5950,4,25.985,2.973,2.427,56.223,0.465,0.228,3.956,start_junc
20,1,5950,5,25.979,3.019,2.427,58.105,0.465,0.228,4.513,start_junc
21,1,5950,6,25.952,3.087,2.427,105.651,0.227,0.252,4.348,start_junc
22,1,5950,7,25.927,3.147,2.427,182.841,0.016,0.274,4.240,start_junc
23,1,5950,8,25.918,3.175,2.427,151.434,0.073,0.264,4.345,start_junc
24,1,5950,9,25.885,3.237,2.427,152.576,0.074,0.260,4.266,start_junc
25,1,5950,10,25.851,3.293,2.427,218.346,0.269,0.268,4.247,start_junc
26,1,5950,11,25.840,3.322,2.427,237.699,0.286,0.268,4.304,start_junc
27,1,5950,12,25.812,3.384,2.427,255.124,0.426,0.268,4.311,start_junc
28,1,5950,13,25.781,3.441,2.427,271.891,0.496,0.262,4.213,start_junc
29,1,5950,14,25.772,3.468,2.427,265.019,0.544,0.266,4.399,start_junc
30,1,5950,15,25.746,3.533,2.427,248.054,0.546,0.267,4.393,start_junc
31,1,5950,16,25.727,3.601,2.427,231.061,0.514,0.245,4.444,start_junc
32,1,5950,17,25.710,3.671,2.427,207.735,0.447,0.250,4.506,start_junc
33,1,5950,18,25.666,3.752,2.427,168.858,0.607,0.233,4.254,start_junc
34,1,5950,19,25.637,3.811,2.427,161.746,0.547,0.246,4.253,start_junc
35,1,5950,20,25.615,3.842,2.427,263.182,0.619,0.261,4.111,start_junc
36,1,5950,21,25.583,3.893,2.427,214.973,0.538,0.262,4.045,start_junc
37,1,5950,22,25.553,3.932,2.427,215.241,0.472,0.263,3.977,start_junc
38,1,5950,23,25.524,3.977,2.427,239.862,0.421,0.273,4.137,start_junc
39,1,5950,24,25.492,4.030,2.427,162.066,0.299,0.264,4.151,start_junc
40,1,5950,25,25.477,4.067,2.427,123.303,0.077,0.261,4.136,start_junc
41,1,5950,26,25.435,4.113,2.427,98.632,0.025,0.244,4.049,start_junc
42,1,5950,27,25.372,4.195,2.427,84.233,0.040,0.232,4.055,start_junc
43,1,5950,28,25.332,4.240,2.427,93.199,0.070,0.249,4.105,start_junc
44,1,5950,29,25.308,4.278,2.427,95.057,0.006,0.253,3.966,start_junc
45,1,5950,30,25.275,4.314,2.427,128.296,0.103,0.263,3.802,start_junc
46,1,5950,31,25.230,4.350,2.427,119.400,0.004,0.260,3.850,start_junc
47,1,5950,32,25.187,4.379,2.427,112.239,0.113,0.254,3.938,start_junc
48,1,5950,33,25.157,4.419,2.427,117.603,0.034,0.252,4.104,start_junc
49,1,5950,34,25.124,4.463,2.427,95.386,0.118,0.237,3.942,start_junc
50,1,5950,35,25.098,4.507,2.427,76.020,0.456,0.203,3.986,start_junc
51,1,5950,36,25.064,4.553,2.427,68.031,0.453,0.205,4.168,start_junc
52,1,5950,37,25.018,4.586,2.427,91.466,0.332,0.249,3.720,start_junc
53,1,5950,38,24.984,4.616,2.427,122.440,0.329,0.273,3.907,start_junc
54,1,5950,39,24.943,4.652,2.427,85.454,0.329,0.273,3.854,start_junc
55,1,5950,40,24.890,4.684,2.427,50.785,0.329,0.273,4.165,start_junc
56,1,5950,41,24.824,4.776,2.427,52.165,0.329,0.273,4.584,start_junc
57,1,5950,42,24.820,4.848,2.427,57.545,0.329,0.273,4.556,start_junc
58,1,5955,1,11.908,3.726,0.656,0.000,0.000,0.000,3.293,start_junc
59,1,5955,2,11.836,3.738,0.656,0.000,0.000,0.000,3.347,start_junc
60,1,5955,3,11.765,3.750,0.656,0.000,0.000,0.000,3.271,start_junc
61,1,5955,4,11.692,3.756,0.656,0.000,0.000,0.000,3.220,start_junc
62,1,5955,5,11.618,3.759,0.656,0.000,0.000,0.000,3.159,start_junc
63,1,5955,6,11.544,3.751,0.656,0.000,0.000,0.000,3.038,start_junc
64,1,5955,7,11.471,3.747,0.656,0.000,0.000,0.000,3.082,start_junc
65,1,5955,8,11.397,3.757,0.656,0.000,0.000,0.000,3.192,start_junc
66,1,5955,9,11.328,3.832,0.656,0.000,0.000,0.000,3.673,start_junc
67,1,5955,10,11.299,3.859,0.656,0.000,0.000,0.000,3.706,start_junc
68,1,5959,1,31.986,15.662,0.165,0.000,0.000,0.000,4.245,start_junc
69,1,5959,2,31.945,15.710,0.165,0.000,0.000,0.000,4.152,start_junc
70,1,5959,3,31.923,15.745,0.165,0.000,0.000,0.000,4.020,start_junc
71,1,5959,4,31.888,15.795,0.165,0.000,0.000,0.000,4.180,start_junc
72,1,5966,1,11.111,11.597,0.562,80.861,0.371,0.230,2.753,start_junc
73,1,5966,2,11.027,11.547,0.562,135.288,0.396,0.262,2.585,start_junc
74,1,5966,3,10.959,11.536,0.562,30.186,0.292,0.189,2.795,start_junc
75,1,5966,4,10.897,11.507,0.562,40.252,0.222,0.211,2.756,start_junc
76,1,5966,5,10.809,11.469,0.562,60.276,0.123,0.242,2.767,start_junc
77,1,5966,6,10.741,11.450,0.562,54.399,0.123,0.237,2.863,start_junc
78,1,5966,7,10.664,11.438,0.562,24.941,0.188,0.214,3.069,start_junc
79,1,5966,8,10.583,11.452,0.562,15.634,0.188,0.214,3.411,start_junc
80,1,5972,1,27.206,13.602,1.064,223.921,0.445,0.269,2.960,start_junc
81,1,5972,2,27.131,13.584,1.064,227.422,0.528,0.273,3.200,start_junc
82,1,5972,3,27.056,13.592,1.064,230.836,0.671,0.280,3.343,start_junc
83,1,5972,4,26.989,13.612,1.064,234.043,0.717,0.271,3.528,start_junc
84,1,5972,5,26.902,13.648,1.064,238.297,0.607,0.280,3.452,start_junc
85,1,5972,6,26.837,13.672,1.064,241.480,0.507,0.278,3.431,start_junc
86,1,5972,7,26.768,13.692,1.064,244.706,0.405,0.276,3.401,start_junc
87,1,5972,8,26.698,13.711,1.064,248.008,0.302,0.274,3.357,start_junc
88,1,5972,9,26.613,13.739,1.064,252.085,0.193,0.275,3.498,start_junc
89,1,5972,10,26.551,13.766,1.064,255.165,0.260,0.272,3.568,start_junc
90,1,5972,11,26.515,13.778,1.064,256.907,0.260,0.276,3.710,start_junc
91,1,5972,12,26.467,13.819,1.064,259.765,0.320,0.279,3.762,start_junc
92,1,5972,13,26.423,13.856,1.064,262.378,0.320,0.279,3.823,start_junc
93,1,5972,14,26.390,13.892,1.064,264.601,0.320,0.279,4.064,start_junc
94,1,5972,15,26.336,13.977,1.064,269.173,0.320,0.279,4.258,start_junc
95,1,5972,16,26.301,14.036,1.064,190.501,0.320,0.279,4.378,start_junc
96,1,5976,1,38.381,39.853,0.097,0.000,0.445,0.000,2.639,start_junc
97,1,5976,2,38.291,39.817,0.097,0.000,0.528,0.000,2.725,start_junc
