 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,5446,1,24.803,2.795,0.603,40.728,0.093,0.233,1.515,start_junc
2,1,5446,2,24.813,2.726,0.603,37.973,0.042,0.227,1.418,start_junc
3,1,5446,3,24.819,2.659,0.603,30.347,0.063,0.208,1.290,start_junc
4,1,5446,4,24.838,2.569,0.603,30.873,0.143,0.194,1.258,start_junc
5,1,5446,5,24.857,2.502,0.603,34.917,0.411,0.173,1.236,start_junc
6,1,5446,6,24.875,2.430,0.603,54.356,0.564,0.194,1.423,start_junc
7,1,5446,7,24.893,2.342,0.603,53.290,0.640,0.202,1.259,start_junc
8,1,5446,8,24.911,2.275,0.603,56.190,0.638,0.218,1.303,start_junc
9,1,5446,9,24.928,2.206,0.603,39.559,0.584,0.229,1.350,start_junc
10,1,5448,1,11.685,23.389,0.897,185.750,0.251,0.277,2.463,start_junc
11,1,5448,2,11.649,23.359,0.897,185.750,0.217,0.273,2.196,start_junc
12,1,5448,3,11.609,23.319,0.897,185.750,0.178,0.268,2.470,start_junc
13,1,5448,4,11.567,23.280,0.897,185.750,0.138,0.264,2.461,start_junc
14,1,5448,5,11.528,23.256,0.897,185.750,0.138,0.264,2.492,start_junc
15,1,5448,6,11.478,23.222,0.897,185.750,0.145,0.263,2.605,start_junc
16,1,5448,7,11.440,23.203,0.897,185.750,0.145,0.263,2.500,start_junc
17,1,5448,8,11.389,23.178,0.897,185.750,0.023,0.250,2.706,start_junc
18,1,5448,9,11.324,23.160,0.897,179.184,0.150,0.251,2.864,start_junc
19,1,5448,10,11.257,23.139,0.897,103.157,0.021,0.231,2.848,start_junc
20,1,5448,11,11.168,23.114,0.897,94.387,0.020,0.223,2.853,start_junc
21,1,5448,12,11.101,23.095,0.897,70.176,0.104,0.205,2.849,start_junc
22,1,5448,13,11.033,23.075,0.897,30.955,0.104,0.146,2.868,start_junc
23,1,5448,14,10.957,23.068,0.897,30.955,0.010,0.008,3.054,start_junc
24,1,5448,15,10.874,23.059,0.897,30.955,0.349,0.150,2.949,start_junc
25,1,5452,1,20.313,21.546,0.167,138.384,0.055,0.244,1.476,start_junc
26,1,5452,2,20.328,21.474,0.167,114.780,0.055,0.244,1.473,start_junc
27,1,5452,3,20.396,21.408,0.167,75.385,0.055,0.244,1.179,start_junc
28,1,5457,1,32.783,29.648,0.179,12.783,0.125,0.130,2.573,start_junc
29,1,5457,2,32.765,29.567,0.179,9.197,0.115,0.105,1.871,start_junc
30,1,5457,3,32.825,29.493,0.179,15.151,0.158,0.201,1.316,start_junc
31,1,5467,1,29.123,12.505,0.218,26.649,0.207,0.173,0.846,start_junc
32,1,5467,2,29.191,12.503,0.218,26.186,0.207,0.173,0.071,start_junc
33,1,5467,3,29.262,12.519,0.218,47.165,0.200,0.220,6.180,start_junc
34,1,5467,4,29.339,12.529,0.218,36.103,0.200,0.220,0.024,start_junc
35,1,5470,1,14.553,22.160,0.820,61.197,0.672,0.227,2.948,start_junc
36,1,5470,2,14.484,22.139,0.820,73.606,0.672,0.227,2.967,start_junc
37,1,5470,3,14.412,22.146,0.820,69.163,0.672,0.227,3.206,start_junc
38,1,5470,4,14.338,22.147,0.820,60.808,0.672,0.227,3.159,start_junc
39,1,5470,5,14.264,22.142,0.820,66.962,0.661,0.233,3.076,start_junc
40,1,5470,6,14.191,22.135,0.820,89.310,0.659,0.238,3.041,start_junc
41,1,5470,7,14.120,22.119,0.820,123.121,0.665,0.237,2.946,start_junc
42,1,5470,8,14.047,22.107,0.820,168.801,0.668,0.246,3.026,start_junc
43,1,5470,9,13.970,22.105,0.820,121.600,0.630,0.237,3.141,start_junc
44,1,5470,10,13.901,22.103,0.820,79.724,0.431,0.223,3.007,start_junc
45,1,5470,11,13.826,22.097,0.820,16.689,0.086,0.133,3.059,start_junc
46,1,5470,12,13.751,22.056,0.820,21.167,0.303,0.183,2.760,start_junc
47,1,5472,1,36.395,13.673,0.069,17.543,0.217,0.150,0.505,start_junc
48,1,5472,2,36.458,13.645,0.069,13.046,0.217,0.150,0.375,start_junc
49,1,5477,1,10.358,22.716,0.056,0.000,0.217,0.000,4.280,start_junc
50,1,5477,2,10.306,22.736,0.056,0.000,0.217,0.000,3.797,start_junc
51,1,5483,1,28.825,23.173,2.416,111.072,0.709,0.279,3.337,both_junc
52,1,5483,2,28.759,23.152,2.416,95.654,0.709,0.279,2.367,both_junc
53,1,5483,3,28.695,23.083,2.416,108.297,0.709,0.279,1.843,both_junc
54,1,5483,4,28.668,23.017,2.416,117.792,0.744,0.221,1.897,both_junc
55,1,5483,5,28.649,22.949,2.416,126.097,0.616,0.224,1.876,both_junc
56,1,5483,6,28.640,22.862,2.416,151.383,0.450,0.240,1.708,both_junc
57,1,5483,7,28.629,22.789,2.416,147.946,0.265,0.244,1.754,both_junc
58,1,5483,8,28.616,22.718,2.416,184.507,0.114,0.252,1.722,both_junc
