 ,Frame,Contour ID,Pos.,X,Y,Length,Contrast,Asymmetry,Line width,Angle of normal,Class
1,1,5217,1,7.059,28.750,2.041,45.547,0.400,0.243,2.208,start_junc
2,1,5217,2,7.032,28.702,2.041,58.267,0.332,0.244,2.353,start_junc
3,1,5217,3,6.985,28.676,2.041,58.459,0.448,0.250,2.850,start_junc
4,1,5217,4,6.942,28.646,2.041,87.190,0.573,0.258,2.352,start_junc
5,1,5217,5,6.926,28.598,2.041,42.794,0.403,0.242,1.910,start_junc
6,1,5217,6,6.916,28.528,2.041,38.635,0.401,0.225,1.779,start_junc
7,1,5217,7,6.898,28.460,2.041,25.957,0.386,0.192,1.908,start_junc
8,1,5217,8,6.844,28.377,2.041,130.937,0.552,0.280,2.266,start_junc
9,1,5217,9,6.809,28.341,2.041,100.538,0.589,0.269,2.411,start_junc
10,1,5217,10,6.769,28.304,2.041,96.730,0.630,0.258,2.401,start_junc
11,1,5217,11,6.696,28.232,2.041,49.486,0.708,0.236,2.128,start_junc
12,1,5217,12,6.670,28.174,2.041,132.781,0.602,0.267,2.113,start_junc
13,1,5217,13,6.659,28.148,2.041,103.825,0.597,0.256,1.876,start_junc
14,1,5217,14,6.623,28.085,2.041,111.942,0.562,0.257,2.093,start_junc
15,1,5217,15,6.591,28.024,2.041,105.125,0.601,0.273,1.939,start_junc
16,1,5217,16,6.526,27.941,2.041,26.142,0.580,0.253,1.582,start_junc
17,1,5217,17,6.530,27.864,2.041,31.891,0.565,0.238,1.325,start_junc
18,1,5217,18,6.552,27.798,2.041,49.185,0.552,0.225,1.087,start_junc
19,1,5217,19,6.582,27.744,2.041,47.357,0.540,0.213,1.008,start_junc
20,1,5217,20,6.587,27.714,2.041,58.834,0.535,0.208,1.368,start_junc
21,1,5217,21,6.608,27.644,2.041,54.311,0.521,0.194,1.321,start_junc
22,1,5217,22,6.619,27.574,2.041,83.217,0.208,0.233,1.327,start_junc
23,1,5217,23,6.630,27.502,2.041,82.983,0.159,0.240,1.401,start_junc
24,1,5217,24,6.645,27.433,2.041,67.363,0.271,0.228,1.314,start_junc
